127.0.0.1 - - [19/Apr/2017:09:05:21 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:17:24 +0530] "POST /OnlineInsuranceSystem/AgentHome.jsp HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:17:30 +0530] "GET /OnlineInsuranceSystem/AdminLogin.jsp HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:17:32 +0530] "POST /OnlineInsuranceSystem/AdminHome.jsp HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:18:19 +0530] "GET /OnlineInsuranceSystem/LoginPage.jsp HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:18:28 +0530] "GET /OnlineInsuranceSystem/regform.jsp HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:19:02 +0530] "GET /OnlineInsuranceSystem/LoginPage.jsp HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:19:05 +0530] "GET /OnlineInsuranceSystem/AgentRegistration.jsp HTTP/1.1" 200 4399
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:19:10 +0530] "POST /OnlineInsuranceSystem/AgentController HTTP/1.1" 500 1686
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:19:16 +0530] "POST /OnlineInsuranceSystem/AgentController HTTP/1.1" 500 1686
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:19:41 +0530] "GET /OnlineInsuranceSystem/Home.jsp HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:19:44 +0530] "GET /OnlineInsuranceSystem/adminhome.jsp HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:19:49 +0530] "GET /OnlineInsuranceSystem/adminhome.jsp HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:19:57 +0530] "GET /OnlineInsuranceSystem/adminhome.jsp HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:20:05 +0530] "GET /OnlineInsuranceSystem/LoginPage.jsp HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:20:12 +0530] "GET /OnlineInsuranceSystem/LoginPage.jsp HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:20:38 +0530] "GET /OnlineInsuranceSystem/Home.jsp HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:20:39 +0530] "GET /OnlineInsuranceSystem/Home.jsp HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:20:39 +0530] "GET /OnlineInsuranceSystem/Home.jsp HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:20:40 +0530] "GET /OnlineInsuranceSystem/Home.jsp HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:20:41 +0530] "GET /OnlineInsuranceSystem/LoginPage.jsp HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:20:43 +0530] "GET /OnlineInsuranceSystem/UserLogin.jsp HTTP/1.1" 200 3511
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:20:44 +0530] "POST /OnlineInsuranceSystem/UserHome.jsp HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:20:50 +0530] "GET /OnlineInsuranceSystem/AgentRegistration.jsp HTTP/1.1" 200 4399
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:21:01 +0530] "GET /OnlineInsuranceSystem/AgentLogin.jsp HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:21:03 +0530] "POST /OnlineInsuranceSystem/AgentHome.jsp HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:21:09 +0530] "GET /OnlineInsuranceSystem/AdminLogin.jsp HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:21:10 +0530] "POST /OnlineInsuranceSystem/AdminHome.jsp HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:22:01 +0530] "GET /OnlineInsuranceSystem/AdminLogin.jsp HTTP/1.1" 200 3552
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:22:18 +0530] "POST /OnlineInsuranceSystem/AdminHome.jsp HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:22:26 +0530] "GET /OnlineInsuranceSystem/AdminLogin.jsp HTTP/1.1" 200 3552
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:22:39 +0530] "POST /OnlineInsuranceSystem/AdminHome.jsp HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:22:55 +0530] "GET /OnlineInsuranceSystem/AdminLogin.jsp HTTP/1.1" 200 3556
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:23:02 +0530] "POST /OnlineInsuranceSystem/AdminHome.jsp HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:24:02 +0530] "GET /OnlineInsuranceSystem/AgentLogin.jsp HTTP/1.1" 200 3556
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:24:12 +0530] "POST /OnlineInsuranceSystem/AgentHome.jsp HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:24:59 +0530] "GET /OnlineInsuranceSystem/AdminLogin.jsp HTTP/1.1" 200 3556
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:25:06 +0530] "POST /OnlineInsuranceSystem/AdminHome.jsp HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:25:08 +0530] "GET /OnlineInsuranceSystem/AdminHome.jsp HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:25:08 +0530] "GET /OnlineInsuranceSystem/AdminHome.jsp HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:25:08 +0530] "GET /OnlineInsuranceSystem/AdminHome.jsp HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:25:10 +0530] "GET /OnlineInsuranceSystem/ViewAgent.jsp HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:25:20 +0530] "GET /OnlineInsuranceSystem/UserDetails.jsp HTTP/1.1" 404 1025
